City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
491,Minas Novas,BR,-17.2186,-42.5903,75.63,33,93,7.58,overcast clouds
492,San Quintin,MX,30.4833,-115.95,78.35,61,2,11.79,clear sky
493,Inirida,CO,3.8653,-67.9239,76.33,94,97,4.07,overcast clouds
494,Zakharovo,RU,54.366,39.2792,73.02,59,76,7.09,broken clouds
495,Northam,GB,51.0333,-4.2167,67.71,83,50,10.89,scattered clouds
496,Plettenberg Bay,ZA,-34.0527,23.3716,56.55,88,60,10.2,broken clouds
497,Salani,IN,29.957,79.7127,71.82,94,99,0.6,moderate rain
498,Anadyr,RU,64.75,177.4833,43.3,86,20,1.99,few clouds
499,Naze,JP,28.3667,129.4833,78.84,87,77,12.66,broken clouds
500,Davila,PH,18.4726,120.5763,80.76,88,100,23.58,overcast clouds
501,Verkhnevilyuysk,RU,63.4453,120.3167,61.45,55,96,3.27,overcast clouds
502,Kem,RU,64.9555,34.5793,55.06,95,89,6.08,overcast clouds
503,Mezen,RU,65.8522,44.24,49.82,76,7,5.21,clear sky
504,Hastings,GB,50.8552,0.5729,66.9,91,71,6.46,moderate rain
505,Muros,ES,42.7762,-9.0603,66.99,92,96,1.34,overcast clouds
506,Auki,SB,-8.7676,160.7034,75.22,87,100,8.75,overcast clouds
507,Tessalit,ML,20.1986,1.0114,96.28,27,78,14.76,broken clouds
508,Yermekeyevo,RU,54.0761,53.6712,70.79,51,96,5.17,overcast clouds
509,Kavieng,PG,-2.5744,150.7967,80.96,75,10,8.16,clear sky
510,Praia Da Vitoria,PT,38.7333,-27.0667,78.76,94,75,18.57,light intensity drizzle
511,Tulle,FR,45.3333,1.8333,62.55,94,57,2.84,broken clouds
512,Inhambane,MZ,-23.865,35.3833,65.46,73,0,5.55,clear sky
513,Labuhan,ID,-6.8844,112.2051,77.63,75,8,9.13,clear sky
514,Kholm,RU,59.2667,32.85,64.29,69,29,6.29,scattered clouds
515,Zhanaozen,KZ,43.3,52.8,89.04,18,3,7.76,clear sky
516,Soc Trang,VN,9.6033,105.98,78.76,90,48,6.98,scattered clouds
517,Ambilobe,MG,-13.2,49.05,70.66,77,0,4.0,clear sky
518,Urengoy,RU,65.9667,78.3667,56.77,63,99,9.15,overcast clouds
519,Pauini,BR,-7.7136,-66.9764,94.53,23,0,4.81,clear sky
520,Banda Aceh,ID,5.5577,95.3222,79.32,76,99,15.99,overcast clouds
521,Carballo,ES,43.213,-8.691,66.54,92,81,4.94,light rain
522,Shubarshi,KZ,48.5872,57.1869,84.13,18,3,7.56,clear sky
523,Craig,US,40.5153,-107.5464,79.18,41,1,8.05,clear sky
524,Jinchang,CN,38.4953,102.1739,75.76,37,87,6.89,overcast clouds
525,Marquette,US,46.5333,-87.6335,66.83,76,10,10.11,clear sky
526,Sungairaya,ID,0.7,108.9,79.27,83,93,6.38,overcast clouds
527,Hof,DE,50.3167,11.9167,65.52,68,20,8.05,few clouds
528,Bilma,NE,18.6853,12.9164,100.69,9,4,2.73,clear sky
529,Kudat,MY,6.8837,116.8477,80.53,89,20,3.44,few clouds
530,Eregli,TR,37.5133,34.0467,75.97,21,0,5.35,clear sky
531,Nicoya,CR,10.1483,-85.452,89.15,72,49,5.95,scattered clouds
532,Dongsheng,CN,39.8161,109.9776,63.57,41,65,11.7,broken clouds
533,Tashtagol,RU,52.7657,87.8894,55.31,84,16,2.42,few clouds
534,Deputatskiy,RU,69.3,139.9,35.82,90,12,3.18,few clouds
535,Batemans Bay,AU,-35.7167,150.1833,40.98,94,16,3.62,few clouds
536,Uglovskoye,RU,51.3557,80.1942,71.08,45,20,4.12,few clouds
537,Staraya Poltavka,RU,50.4772,46.4814,83.28,39,13,11.36,few clouds
538,Cagliari,IT,39.245,9.0912,86.14,50,0,13.8,clear sky
539,Algiers,DZ,36.7525,3.042,78.62,65,40,9.22,scattered clouds
540,Atherton,GB,53.5237,-2.4935,66.47,67,78,6.46,broken clouds
541,Olutanga,PH,7.3106,122.8464,83.14,76,86,5.97,overcast clouds
542,Zhangye,CN,38.9342,100.4517,75.0,43,99,5.7,overcast clouds
543,Noyabrsk,RU,63.1994,75.4507,58.82,66,88,11.16,overcast clouds
544,Leshukonskoye,RU,64.8989,45.7622,56.34,83,24,1.88,few clouds
545,Ulladulla,AU,-35.35,150.4667,45.88,92,6,3.8,clear sky
546,Rosarito,MX,32.3333,-117.0333,91.67,47,0,12.3,clear sky
547,Anaconda,US,46.1285,-112.9423,85.96,34,85,6.6,overcast clouds
548,Tunduma,TZ,-9.3,32.7667,58.68,62,78,10.58,broken clouds
549,Paka,MY,4.6374,103.4368,76.98,100,86,0.0,heavy intensity rain
550,Vendome,FR,47.8,1.0667,73.02,56,73,7.67,broken clouds
551,Esil,KZ,51.9556,66.4042,76.28,51,26,7.31,scattered clouds
552,Talnakh,RU,69.4865,88.3972,50.95,94,88,5.82,overcast clouds
553,Roblin,CA,51.23,-101.3565,80.94,25,0,6.24,clear sky
554,Guozhen,CN,34.3659,107.359,81.28,43,4,3.02,clear sky
555,Caramay,PH,10.1815,119.236,79.86,83,75,5.57,broken clouds
556,Halifax,CA,44.6453,-63.5724,77.41,59,23,3.0,few clouds
557,Santa Maria,BR,-29.6842,-53.8069,65.5,55,0,3.44,clear sky
558,Xiongzhou,CN,25.1167,114.3,79.48,80,96,0.96,overcast clouds
559,Kualakapuas,ID,-3.0091,114.3876,75.36,93,60,1.57,broken clouds
560,Emerald,AU,-23.5333,148.1667,59.14,94,1,4.61,clear sky
561,Faya,SA,18.3851,42.4509,68.52,70,95,4.7,overcast clouds
562,Santa Maria Del Rio,MX,21.8,-100.75,72.84,40,24,6.33,few clouds
563,Krasnoselkup,RU,65.7,82.4667,55.24,72,99,7.56,overcast clouds
564,Kemijarvi,FI,66.7131,27.4306,58.17,86,100,4.36,light rain
565,Toccoa,US,34.5773,-83.3324,89.19,58,1,5.75,clear sky
566,Raudeberg,NO,61.9875,5.1352,56.07,73,66,21.07,broken clouds
567,Dali,CN,25.7,100.1833,63.54,81,23,1.21,few clouds
568,Ripky,UA,51.801,31.0838,71.17,83,71,5.55,broken clouds
569,Megion,RU,61.0296,76.1136,60.82,74,99,11.41,overcast clouds
570,Hovd,MN,48.0056,91.6419,55.83,65,41,4.32,scattered clouds
