City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
605,Pitelino,RU,71.2,overcast clouds,54.5777,41.8145,Novym Svet
606,Pierre,US,86.99,haze,44.3683,-100.351,Ramkota Hotel
607,Thunder Bay,CA,68.56,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
608,Chemal,RU,56.35,clear sky,51.4111,86.005,Guesthouse V Sosnovom Boru
610,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
611,Funadhoo,MV,82.13,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
612,Putnok,HU,70.79,very heavy rain,48.3,20.4333,Havanna Apartmanház
614,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
616,Rabo De Peixe,PT,74.71,broken clouds,37.8,-25.5833,Quinta das Giestas
617,Oranmore,IE,64.36,broken clouds,53.2683,-8.92,Oranmore Lodge Hotel Galway
619,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
620,Aksu,CN,80.83,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
621,Shizunai,JP,73.24,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
622,Wilmington,US,92.98,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
623,Takaka,NZ,51.98,overcast clouds,-40.85,172.8,Golden Bay Motels
624,Svobodnyy,RU,55.44,overcast clouds,51.4,128.1333,Alekseevskij Hotel
625,Sakakah,SA,99.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
626,Bari,IT,100.35,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
627,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
629,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
630,Keti Bandar,PK,82.02,overcast clouds,24.1447,67.4497,Haji laloo memon house
632,Laharpur,IN,80.4,broken clouds,27.7167,80.9,Babu Ji Moeed
633,Hvide Sande,DK,63.18,few clouds,56.0045,8.1294,Hvide Sande Hotel
634,Port-Cartier,CA,68.22,overcast clouds,50.0334,-66.8654,Le Q'Artier
635,Ozinki,RU,81.45,scattered clouds,51.1786,49.6769,Korolevskiy Dvor
636,Kisangani,CD,74.35,overcast clouds,0.5167,25.2,Grand Ramela Hotel
637,Ardabil,IR,65.75,broken clouds,38.2498,48.2933,Hostel ideal
639,La Ronge,CA,80.85,smoke,55.1001,-105.2842,Northland Motor Hotel
640,Kirakira,SB,73.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
641,Luganville,VU,69.28,broken clouds,-15.5333,167.1667,The Espiritu Hotel
642,Sutton,GB,67.35,scattered clouds,51.35,-0.2,"Holiday Inn London - Sutton, an IHG Hotel"
643,Chimbote,PE,69.76,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
